# sigma8,om0,ode0
8.093827560397957033e-01,3.330855541746146065e-01,7.121876257788941622e-01
8.104004402713798072e-01,3.321361344204141197e-01,7.125604149079260985e-01
8.100152970795855278e-01,3.318092470609552702e-01,7.131331594966678900e-01
8.101641318276466830e-01,3.316474874237575476e-01,7.126943726638503840e-01
8.100370249160429026e-01,3.321093096850957771e-01,7.128877723254866128e-01
8.106797128828986398e-01,3.321814505841044762e-01,7.127294364353972123e-01
8.107593395265273450e-01,3.314391132041852317e-01,7.132794665736020834e-01
8.098934056990477748e-01,3.313124563307373038e-01,7.109123259525166327e-01
8.106331914406265104e-01,3.319524962351168007e-01,7.126829508272084501e-01
8.096459467723143844e-01,3.322615331186431487e-01,7.120871160412750589e-01
8.098432603265802721e-01,3.323479314787987637e-01,7.130194627069227353e-01
8.099884769425007569e-01,3.322146767365080633e-01,7.126753183159894034e-01
8.098803809932659803e-01,3.325923524601618331e-01,7.125743223586358255e-01
8.098980374607802624e-01,3.326226299053194335e-01,7.131498875105453106e-01
8.100842635082378118e-01,3.312493755623515113e-01,7.121566564810232203e-01
8.109616445498639692e-01,3.322173685668933230e-01,7.128629979841151210e-01
8.106633124657035561e-01,3.307063357184857888e-01,7.120580871397140799e-01
8.100588049028875082e-01,3.311986903582911368e-01,7.122663199320341532e-01
8.098511454966640377e-01,3.322049078843482550e-01,7.113945433742894231e-01
8.099587779979432467e-01,3.317359988398654314e-01,7.122720149035535186e-01
8.093827560397957033e-01,3.330855541746146065e-01,7.121876257788941622e-01
8.104004402713798072e-01,3.321361344204141197e-01,7.125604149079260985e-01
8.100469225907902526e-01,3.315898736012747317e-01,7.131286478668698026e-01
8.102262983426991028e-01,3.315738205347934509e-01,7.127672250697226763e-01
8.100370249160429026e-01,3.321093096850957771e-01,7.128877723254866128e-01
8.106797128828986398e-01,3.321814505841044762e-01,7.127294364353972123e-01
8.107593395265273450e-01,3.314391132041852317e-01,7.132794665736020834e-01
8.098934056990477748e-01,3.313124563307373038e-01,7.109123259525166327e-01
8.106134862924310180e-01,3.318555177418358038e-01,7.126632608573025829e-01
8.095709831276748369e-01,3.323209286982923283e-01,7.127793901857463199e-01
8.097733458937327322e-01,3.327182897355669966e-01,7.134718384225956500e-01
8.099826625299213489e-01,3.321209619319854256e-01,7.125963602092441063e-01
8.097588535350285222e-01,3.329671066136144497e-01,7.123311416652472472e-01
8.098980374607802624e-01,3.326226299053194335e-01,7.131498875105453106e-01
8.101008791978687729e-01,3.309469025668043685e-01,7.118994939918070752e-01
8.109203831459863565e-01,3.322121118803696982e-01,7.128434509177514755e-01
8.106633124657035561e-01,3.307063357184857888e-01,7.120580871397140799e-01
8.102930001579500274e-01,3.315693697329475387e-01,7.124409990972574436e-01
8.098572540528060637e-01,3.320941090496928871e-01,7.101357359085950227e-01
8.100636567384227327e-01,3.314902796242801819e-01,7.122873799863932431e-01
8.095675954420123999e-01,3.329131134760434652e-01,7.122553345215715259e-01
8.105653615229303499e-01,3.319822757978177497e-01,7.126208274089911310e-01
8.100469225907902526e-01,3.315898736012747317e-01,7.131286478668698026e-01
8.102262983426991028e-01,3.315738205347934509e-01,7.127672250697226763e-01
8.105379535619263720e-01,3.313618664733830599e-01,7.134238263458402285e-01
8.110854704300290985e-01,3.322166614221855885e-01,7.128069009727503458e-01
8.108721176702520239e-01,3.314076123477024405e-01,7.134822390863413411e-01
8.098934056990477748e-01,3.313124563307373038e-01,7.109123259525166327e-01
8.111762782921766446e-01,3.321193934484052979e-01,7.122009720007954625e-01
8.094495745967738021e-01,3.324593434679711246e-01,7.127816439848811969e-01
8.098381769980470546e-01,3.325332809285798663e-01,7.132006788033310452e-01
8.099737992584450375e-01,3.321408664882324890e-01,7.125901442854564172e-01
8.098225972309626153e-01,3.327771094145863806e-01,7.123906087242040108e-01
8.098980374607802624e-01,3.326226299053194335e-01,7.131498875105453106e-01
8.101008791978687729e-01,3.309469025668043685e-01,7.118994939918070752e-01
8.106912776044524760e-01,3.320190796959196500e-01,7.126947465814132965e-01
8.111582595506870996e-01,3.296776643208924051e-01,7.116666720044392269e-01
8.102930001579500274e-01,3.315693697329475387e-01,7.124409990972574436e-01
8.097862974107326028e-01,3.321795572945323016e-01,7.097603481930605529e-01
8.100636567384227327e-01,3.314902796242801819e-01,7.122873799863932431e-01
8.095153279031260807e-01,3.329618749998856098e-01,7.122361883368382163e-01
8.105653615229303499e-01,3.319822757978177497e-01,7.126208274089911310e-01
8.098645612488947210e-01,3.318604668803075142e-01,7.106220795035584903e-01
8.103163501647407951e-01,3.316600531951253705e-01,7.127531882718094458e-01
8.105379535619263720e-01,3.313618664733830599e-01,7.134238263458402285e-01
8.112296150783854243e-01,3.322773890286661036e-01,7.128590315624822038e-01
8.108721176702520239e-01,3.314076123477024405e-01,7.134822390863413411e-01
8.098437053639988559e-01,3.312734350764106606e-01,7.106353925045559849e-01
8.112623831827120435e-01,3.320271630177258348e-01,7.116264243067023099e-01
8.094495745967738021e-01,3.324593434679711246e-01,7.127816439848811969e-01
8.098014017930980080e-01,3.326994832294581927e-01,7.132133686638268966e-01
8.099612509647295955e-01,3.320571978104680522e-01,7.124015973932910084e-01
8.100981361649034485e-01,3.322319901301019618e-01,7.127885805735771907e-01
8.099607625297957636e-01,3.324990489028430418e-01,7.131767392061334476e-01
8.101008791978687729e-01,3.309469025668043685e-01,7.118994939918070752e-01
8.107500323321867874e-01,3.320753425939347858e-01,7.126855882077018922e-01
8.109183500204063533e-01,3.306101994804386823e-01,7.120527602762909414e-01
8.100642382608669312e-01,3.317631569534487679e-01,7.115231370784367293e-01
8.096274221641791558e-01,3.322123410322139758e-01,7.073625875450426648e-01
8.102054948085333219e-01,3.312265536800164112e-01,7.134737604875256434e-01
8.095153279031260807e-01,3.329618749998856098e-01,7.122361883368382163e-01
8.105653615229303499e-01,3.319822757978177497e-01,7.126208274089911310e-01
8.097345330493720406e-01,3.321022341975961578e-01,7.095344806636223467e-01
8.103163501647407951e-01,3.316600531951253705e-01,7.127531882718094458e-01
8.110191707728594546e-01,3.314231625780571511e-01,7.153566255378005501e-01
8.112296150783854243e-01,3.322773890286661036e-01,7.128590315624822038e-01
8.108721176702520239e-01,3.314076123477024405e-01,7.134822390863413411e-01
8.098437053639988559e-01,3.312734350764106606e-01,7.106353925045559849e-01
8.112897635508454774e-01,3.319983163303528717e-01,7.110249657562880410e-01
8.097476171100176368e-01,3.323959906107141760e-01,7.127932384710193858e-01
