# sigma8,om0
8.103159610355211706e-01,3.409647943703259521e-01
8.102241497090243438e-01,3.409916122746610712e-01
8.105176970223468835e-01,3.411073432000261141e-01
8.159309197823793047e-01,3.353841696186426469e-01
8.100036052855847934e-01,3.407143445175566110e-01
8.106819495503870820e-01,3.404823688239115853e-01
8.099100644908386881e-01,3.407917927417733472e-01
8.129718599433004567e-01,3.369178411466451917e-01
8.103474886411874412e-01,3.401265497602457000e-01
8.123513873581037492e-01,3.325651315022135068e-01
8.104854183105738574e-01,3.411034778104293230e-01
8.107389274974629023e-01,3.377694564466244831e-01
8.109041258597159407e-01,3.385316280360411989e-01
8.112877256111062918e-01,3.367314149270460577e-01
8.101370339400456588e-01,3.412308759383252399e-01
8.099779251858738593e-01,3.397352762625297506e-01
8.099487733880537110e-01,3.394970060053529859e-01
8.105946890443608277e-01,3.384672308246503558e-01
8.100220052303357399e-01,3.405882912973685062e-01
8.103682957609223969e-01,3.406722764049407992e-01
8.103787844016984154e-01,3.410151667512178464e-01
8.102241497090243438e-01,3.409916122746610712e-01
8.111915291805009698e-01,3.379683088540931246e-01
8.165223447692294689e-01,3.348030384960514194e-01
8.100036052855847934e-01,3.407143445175566110e-01
8.107732733751514820e-01,3.403218716666406851e-01
8.099100644908386881e-01,3.407917927417733472e-01
8.135792144906818235e-01,3.369850726079723358e-01
8.103474886411874412e-01,3.401265497602457000e-01
8.124140239056535373e-01,3.323287816656348426e-01
8.107558307441105061e-01,3.410045926688826112e-01
8.110857466381061753e-01,3.368735538602208868e-01
8.110224131753384080e-01,3.382997813277662802e-01
8.118896536852285850e-01,3.367980457017913376e-01
8.101156421908939365e-01,3.411113752546894862e-01
8.101142825983208562e-01,3.400625727419473998e-01
8.099704653405849220e-01,3.387714246934274143e-01
8.107057000472789321e-01,3.377220756516137734e-01
8.100220052303357399e-01,3.405882912973685062e-01
8.103682957609223969e-01,3.406722764049407992e-01
8.103787844016984154e-01,3.410151667512178464e-01
8.101746110518744937e-01,3.409904028440878809e-01
8.114258110985824723e-01,3.378142173863662445e-01
8.165223447692294689e-01,3.348030384960514194e-01
8.100036052855847934e-01,3.407143445175566110e-01
8.107732733751514820e-01,3.403218716666406851e-01
8.099100644908386881e-01,3.407917927417733472e-01
8.140126480077617410e-01,3.368739049672327956e-01
8.106057812107051452e-01,3.397337334996085034e-01
8.124260677547033849e-01,3.322880752439151264e-01
8.107558307441105061e-01,3.410045926688826112e-01
8.117064205282816802e-01,3.332374459434558900e-01
8.110224131753384080e-01,3.382997813277662802e-01
8.118896536852285850e-01,3.367980457017913376e-01
8.101201169248362088e-01,3.411363724515714124e-01
8.102023822654984553e-01,3.401919342599913909e-01
8.099704653405849220e-01,3.387714246934274143e-01
8.107057000472789321e-01,3.377220756516137734e-01
8.099906582679249345e-01,3.404131778266822894e-01
8.105150573508258516e-01,3.393890201731716849e-01
8.103787844016984154e-01,3.410151667512178464e-01
8.101030106811746290e-01,3.402121368831794168e-01
8.122496733033187644e-01,3.357408940653656138e-01
8.155527277875831427e-01,3.350158703726873743e-01
8.099359551701365012e-01,3.406601020025483151e-01
8.109298248833243239e-01,3.398277208254300019e-01
8.099100644908386881e-01,3.407917927417733472e-01
8.140126480077617410e-01,3.368739049672327956e-01
8.107730174642017174e-01,3.395437781726889370e-01
8.144540467353393876e-01,3.269337490174322736e-01
8.106450683562076431e-01,3.409767241792366899e-01
8.117064205282816802e-01,3.332374459434558900e-01
8.110224131753384080e-01,3.382997813277662802e-01
8.118896536852285850e-01,3.367980457017913376e-01
8.100832339609781441e-01,3.409361016767242236e-01
8.102023822654984553e-01,3.401919342599913909e-01
8.099704653405849220e-01,3.387714246934274143e-01
8.107057000472789321e-01,3.377220756516137734e-01
8.099917937353994235e-01,3.404395904717320009e-01
8.106490179468367474e-01,3.377904669299129914e-01
8.103787844016984154e-01,3.410151667512178464e-01
8.101030106811746290e-01,3.402121368831794168e-01
8.133636783030504525e-01,3.328719575151321552e-01
8.155527277875831427e-01,3.350158703726873743e-01
8.099359551701365012e-01,3.406601020025483151e-01
8.109298248833243239e-01,3.398277208254300019e-01
8.099110106828856237e-01,3.407869800163643159e-01
8.140126480077617410e-01,3.368739049672327956e-01
8.114166004646216068e-01,3.386155910748351316e-01
8.144540467353393876e-01,3.269337490174322736e-01
8.106450683562076431e-01,3.409767241792366899e-01
8.126181593527118663e-01,3.321227903278452520e-01
8.110224131753384080e-01,3.382997813277662802e-01
8.128365495090746906e-01,3.341550809172897374e-01
8.104995779309219772e-01,3.399823617295099076e-01
8.104055616600955858e-01,3.399611529101521645e-01
8.099704653405849220e-01,3.387714246934274143e-01
8.108029425300025128e-01,3.366557377264804973e-01
8.099917937353994235e-01,3.404395904717320009e-01
8.106490179468367474e-01,3.377904669299129914e-01
8.103787844016984154e-01,3.410151667512178464e-01
8.101030106811746290e-01,3.402121368831794168e-01
8.149889011237946290e-01,3.292244157522628001e-01
8.155527277875831427e-01,3.350158703726873743e-01
8.099412926511234678e-01,3.403679916160459173e-01
8.109298248833243239e-01,3.398277208254300019e-01
8.100933270825383392e-01,3.408341063851596520e-01
8.140126480077617410e-01,3.368739049672327956e-01
8.140371072081706849e-01,3.361110614981674960e-01
8.139677739016956126e-01,3.285383098807104219e-01
8.106450683562076431e-01,3.409767241792366899e-01
8.126181593527118663e-01,3.321227903278452520e-01
8.128375711921104196e-01,3.341466809544440530e-01
8.128365495090746906e-01,3.341550809172897374e-01
8.104995779309219772e-01,3.399823617295099076e-01
8.104122216957704294e-01,3.399534519477571681e-01
8.099704653405849220e-01,3.387714246934274143e-01
8.108029425300025128e-01,3.366557377264804973e-01
8.099917937353994235e-01,3.404395904717320009e-01
8.106490179468367474e-01,3.377904669299129914e-01
8.104253379405087498e-01,3.410084459641167798e-01
8.104240686590664655e-01,3.400628653275514779e-01
8.151905439548233767e-01,3.287718620236462219e-01
8.172867264233594220e-01,3.330052624166031094e-01
8.099406299157289046e-01,3.403684493937882971e-01
8.110888825007923630e-01,3.397705517655941754e-01
8.100933270825383392e-01,3.408341063851596520e-01
8.140126480077617410e-01,3.368739049672327956e-01
8.147846365463180529e-01,3.353966159652850831e-01
8.139677739016956126e-01,3.285383098807104219e-01
8.106450683562076431e-01,3.409767241792366899e-01
8.126181593527118663e-01,3.321227903278452520e-01
8.128375711921104196e-01,3.341466809544440530e-01
8.128365495090746906e-01,3.341550809172897374e-01
8.104864928955376469e-01,3.399650147349801421e-01
8.103839055894886956e-01,3.398290134644767480e-01
8.102504349234391778e-01,3.390215327922346811e-01
8.108029425300025128e-01,3.366557377264804973e-01
8.099917937353994235e-01,3.404395904717320009e-01
8.106490179468367474e-01,3.377904669299129914e-01
8.104253379405087498e-01,3.410084459641167798e-01
8.104240686590664655e-01,3.400628653275514779e-01
8.170826656913754427e-01,3.245923354886450785e-01
8.172867264233594220e-01,3.330052624166031094e-01
