# sigma8,om0,ode0
8.102531200873714923e-01,3.544497380310513979e-01,6.976853332155228404e-01
8.099975565492144591e-01,3.546311302760174478e-01,6.973578448559374365e-01
8.100255165790034573e-01,3.543866069903511273e-01,6.973527517540644149e-01
8.100267134389180779e-01,3.546317163831179675e-01,6.973851492159517385e-01
8.100483734222061472e-01,3.545858125598669863e-01,6.975973678532796374e-01
8.098449874753643751e-01,3.545952685996735521e-01,6.969030440261465564e-01
8.099513419547965665e-01,3.544778474466668272e-01,6.974029464672630851e-01
8.103122118961670894e-01,3.531501140286034679e-01,6.967705175215147539e-01
8.104204937388762575e-01,3.538168246975410547e-01,6.979324951414792588e-01
8.099679451900625438e-01,3.543193278745498942e-01,6.974235770720752514e-01
8.100366540078864919e-01,3.546283094662163182e-01,6.973373106394724630e-01
8.100060172087286681e-01,3.545136646702747307e-01,6.973425349691492192e-01
8.099892023067396529e-01,3.546318416991601219e-01,6.973499752439366040e-01
8.103033597368520802e-01,3.545541209237782487e-01,6.977074442840841551e-01
8.101191162645859922e-01,3.541646475094840651e-01,6.976465950691127516e-01
8.102279135183515502e-01,3.536235823274838652e-01,6.969816471709578964e-01
8.101164340906866768e-01,3.545456253243249312e-01,6.973452417715259033e-01
8.100907970990114393e-01,3.539961425883245139e-01,6.982524427940485223e-01
8.105743720094262805e-01,3.543284992615613471e-01,6.979713282846887745e-01
8.100586588157109302e-01,3.543898026428367598e-01,6.973699599261116155e-01
8.103338992982819233e-01,3.545737376418482967e-01,6.974800076039922025e-01
8.099592654452861806e-01,3.546652777014049351e-01,6.971773614958938214e-01
8.099056183594122160e-01,3.543993007031946418e-01,6.972176228647580798e-01
8.100096895090783677e-01,3.546319528365298734e-01,6.973492322897903994e-01
8.100483734222061472e-01,3.545858125598669863e-01,6.975973678532796374e-01
8.098449874753643751e-01,3.545952685996735521e-01,6.969030440261465564e-01
8.099513419547965665e-01,3.544778474466668272e-01,6.974029464672630851e-01
8.105379472246230232e-01,3.518822542579800317e-01,6.962051517102285647e-01
8.104204937388762575e-01,3.538168246975410547e-01,6.979324951414792588e-01
8.099771745111294941e-01,3.542950483920719873e-01,6.974858460912135572e-01
8.100366540078864919e-01,3.546283094662163182e-01,6.973373106394724630e-01
8.100351321824683648e-01,3.545176260368703147e-01,6.973782658993621375e-01
8.099892023067396529e-01,3.546318416991601219e-01,6.973499752439366040e-01
8.103033597368520802e-01,3.545541209237782487e-01,6.977074442840841551e-01
8.101088532982902990e-01,3.541429525616262564e-01,6.976432055680645838e-01
8.103119176679071112e-01,3.531733690654694779e-01,6.966935605908977092e-01
8.102029877716583339e-01,3.546057011758709798e-01,6.973976377007840011e-01
8.101097318117101986e-01,3.539463312293029684e-01,6.983801928180055629e-01
8.105743720094262805e-01,3.543284992615613471e-01,6.979713282846887745e-01
8.101813847807695090e-01,3.542717895869043065e-01,6.976381414441920059e-01
8.103338992982819233e-01,3.545737376418482967e-01,6.974800076039922025e-01
8.100881554122498773e-01,3.546236408775829130e-01,6.973759185621762891e-01
8.099056183594122160e-01,3.543993007031946418e-01,6.972176228647580798e-01
8.100096895090783677e-01,3.546319528365298734e-01,6.973492322897903994e-01
8.100019669122938692e-01,3.545341768974404895e-01,6.975043833996976694e-01
8.099221487217256321e-01,3.543602965588590892e-01,6.968684264254559890e-01
8.099513419547965665e-01,3.544778474466668272e-01,6.974029464672630851e-01
