# sigma8,om0,ode0
8.104167218369442427e-01,3.534712669539136209e-01,6.981621765012000491e-01
8.102226373824082950e-01,3.544414128829005417e-01,6.975298028157120855e-01
8.101471264259525462e-01,3.537736458425467245e-01,6.978849265335754781e-01
8.106765710988435014e-01,3.516054121864279347e-01,6.960880688655207704e-01
8.102509180777244246e-01,3.541883400764088696e-01,6.977221721978238422e-01
8.101306592260513195e-01,3.535070692427360606e-01,6.991072341246639121e-01
8.111611348649880870e-01,3.540272059960946627e-01,6.985883458379360533e-01
8.102467729214096748e-01,3.540700157047368402e-01,6.976918727827794431e-01
8.103955988235512775e-01,3.545635065932471464e-01,6.975028804113577729e-01
8.100644732730348796e-01,3.544554796537088270e-01,6.975546144319996200e-01
8.100301233089333142e-01,3.541669749803836309e-01,6.975146602338445634e-01
8.101295391187949280e-01,3.545287196737348934e-01,6.974446507306990561e-01
8.100019669122938692e-01,3.545341768974404895e-01,6.975043833996976694e-01
8.099410422129271758e-01,3.541466530549164937e-01,6.967351798264062035e-01
8.098356010201581690e-01,3.543653482170250890e-01,6.972720136604126928e-01
8.113121166945244100e-01,3.477785748615040973e-01,6.937522423636951485e-01
8.109798450377702084e-01,3.519621174714041012e-01,6.992180863951525938e-01
8.099552512480281408e-01,3.542078434090713546e-01,6.975277639538393082e-01
8.100541336317941266e-01,3.546049860182182156e-01,6.973371478383068034e-01
8.100308469843762182e-01,3.543570256830220200e-01,6.973260657815169017e-01
8.105927214946869741e-01,3.531903450335944217e-01,6.984041342638073191e-01
8.102226373824082950e-01,3.544414128829005417e-01,6.975298028157120855e-01
8.101585406435651837e-01,3.539584230565803735e-01,6.970376856597182424e-01
8.106765710988435014e-01,3.516054121864279347e-01,6.960880688655207704e-01
8.102365420647908989e-01,3.541525598008384845e-01,6.976156506494151088e-01
8.101306592260513195e-01,3.535070692427360606e-01,6.991072341246639121e-01
8.111611348649880870e-01,3.540272059960946627e-01,6.985883458379360533e-01
8.101827937503228716e-01,3.540526885978066418e-01,6.974491299197580485e-01
8.103955988235512775e-01,3.545635065932471464e-01,6.975028804113577729e-01
8.099884423220217178e-01,3.544194979778294008e-01,6.974433227249494660e-01
8.100626295126404086e-01,3.541136572519630321e-01,6.975648475811375704e-01
8.101295391187949280e-01,3.545287196737348934e-01,6.974446507306990561e-01
8.100019669122938692e-01,3.545341768974404895e-01,6.975043833996976694e-01
8.098695841899624659e-01,3.539678638735762606e-01,6.962607840234902312e-01
8.099013081872868947e-01,3.543782617161190807e-01,6.973157785279118226e-01
8.113121166945244100e-01,3.477785748615040973e-01,6.937522423636951485e-01
8.114813510037018895e-01,3.506965081778026794e-01,7.002179405276351964e-01
8.099552512480281408e-01,3.542078434090713546e-01,6.975277639538393082e-01
8.100652537544562604e-01,3.546363851449616522e-01,6.973191747187693634e-01
8.099706660407240966e-01,3.542523293316727773e-01,6.972537545057828634e-01
8.105940457294507073e-01,3.531811203804226529e-01,6.984101887256076724e-01
8.101609901763623389e-01,3.543151364757312072e-01,6.975433047258252639e-01
8.101585406435651837e-01,3.539584230565803735e-01,6.970376856597182424e-01
8.111146507355063706e-01,3.500248760024216033e-01,6.952136979460417088e-01
8.101675650841930754e-01,3.541120580894914771e-01,6.973543907532864239e-01
8.101394454161626735e-01,3.536493030590024955e-01,6.984550633285198096e-01
8.111611348649880870e-01,3.540272059960946627e-01,6.985883458379360533e-01
8.101827937503228716e-01,3.540526885978066418e-01,6.974491299197580485e-01
8.105353587899731815e-01,3.545793248032444445e-01,6.974888569213657519e-01
8.099884423220217178e-01,3.544194979778294008e-01,6.974433227249494660e-01
8.100591248167181568e-01,3.541189419966791485e-01,6.975529919322597250e-01
8.101295391187949280e-01,3.545287196737348934e-01,6.974446507306990561e-01
8.099897323048415032e-01,3.545175701066538565e-01,6.975436049851317932e-01
8.098783398738329531e-01,3.539422316360464338e-01,6.962589100905848261e-01
8.099013081872868947e-01,3.543782617161190807e-01,6.973157785279118226e-01
8.116081415500846497e-01,3.460888669860449074e-01,6.928279523416747132e-01
8.115270217173178313e-01,3.490368082449798459e-01,6.975560225558667948e-01
8.101417584608031630e-01,3.543233023868075371e-01,6.975160783678194809e-01
8.101287698078716293e-01,3.547363125478147361e-01,6.971304213929392368e-01
8.099706660407240966e-01,3.542523293316727773e-01,6.972537545057828634e-01
8.105940457294507073e-01,3.531811203804226529e-01,6.984101887256076724e-01
8.101623432058685514e-01,3.542733456163400518e-01,6.975044287163710832e-01
8.103272832822865368e-01,3.536944463420810814e-01,6.968436199016058152e-01
8.114381778929612432e-01,3.488224619468796028e-01,6.941383656978833416e-01
8.101675650841930754e-01,3.541120580894914771e-01,6.973543907532864239e-01
8.101394454161626735e-01,3.536493030590024955e-01,6.984550633285198096e-01
8.112138746265360467e-01,3.540308242054868715e-01,6.986699156757564255e-01
8.101924017808029843e-01,3.541420978133430486e-01,6.972261677450953821e-01
8.104998048176578207e-01,3.545449542239108576e-01,6.974936450182462888e-01
8.099884423220217178e-01,3.544194979778294008e-01,6.974433227249494660e-01
8.100928466988692733e-01,3.541515414658881200e-01,6.975484505651994294e-01
8.101387323977061738e-01,3.544465430380908666e-01,6.974454239673759659e-01
8.099652079047640063e-01,3.544789867962228613e-01,6.976164851757246099e-01
8.098783398738329531e-01,3.539422316360464338e-01,6.962589100905848261e-01
8.098585280512595741e-01,3.543108274175286176e-01,6.971144588381597007e-01
8.116081415500846497e-01,3.460888669860449074e-01,6.928279523416747132e-01
8.116771370841989741e-01,3.466427941851651373e-01,6.970220483332701944e-01
8.101417584608031630e-01,3.543233023868075371e-01,6.975160783678194809e-01
8.101287698078716293e-01,3.547363125478147361e-01,6.971304213929392368e-01
8.099662954539257331e-01,3.542376497566363525e-01,6.972066600144388726e-01
8.109004826705924485e-01,3.516254038173556307e-01,6.968913180964577680e-01
8.101623432058685514e-01,3.542733456163400518e-01,6.975044287163710832e-01
8.104900386856879191e-01,3.528402506503062197e-01,6.966084797301103082e-01
8.114919747098142677e-01,3.486225218576567975e-01,6.939595570548455772e-01
8.101675650841930754e-01,3.541120580894914771e-01,6.973543907532864239e-01
8.101394454161626735e-01,3.536493030590024955e-01,6.984550633285198096e-01
8.109166357830818184e-01,3.535419223886270834e-01,6.978233994947267149e-01
8.102143614042692787e-01,3.540635250775178156e-01,6.971004586068726416e-01
8.104240324644691462e-01,3.543566266927857256e-01,6.976958013307106299e-01
8.099884423220217178e-01,3.544194979778294008e-01,6.974433227249494660e-01
8.100928466988692733e-01,3.541515414658881200e-01,6.975484505651994294e-01
8.101387323977061738e-01,3.544465430380908666e-01,6.974454239673759659e-01
8.100351858062574406e-01,3.544059895291265527e-01,6.975767080488963767e-01
8.098783398738329531e-01,3.539422316360464338e-01,6.962589100905848261e-01
8.098585280512595741e-01,3.543108274175286176e-01,6.971144588381597007e-01
8.115856928433624606e-01,3.459086386655001455e-01,6.914633418333455683e-01
8.116771370841989741e-01,3.466427941851651373e-01,6.970220483332701944e-01
8.101425239381362386e-01,3.542989619168421256e-01,6.975388067965611061e-01
8.101344134819130627e-01,3.546100736862207725e-01,6.972683580683679549e-01
8.099662954539257331e-01,3.542376497566363525e-01,6.972066600144388726e-01
8.111959984307294258e-01,3.501251318169252835e-01,6.954265788687046257e-01
8.102336367427976915e-01,3.542134280440389360e-01,6.975294801258845601e-01
8.104900386856879191e-01,3.528402506503062197e-01,6.966084797301103082e-01
8.114919747098142677e-01,3.486225218576567975e-01,6.939595570548455772e-01
8.102643894665754187e-01,3.540735287655939478e-01,6.974577297729752656e-01
8.101497679389836337e-01,3.536254821169648177e-01,6.984006943403150425e-01
8.110728226738888047e-01,3.534259171566660473e-01,6.979841826486018475e-01
8.102542220937112294e-01,3.541030045338572352e-01,6.967961640123462308e-01
8.103365000763174120e-01,3.543430606051147791e-01,6.975929285857610518e-01
8.099884423220217178e-01,3.544194979778294008e-01,6.974433227249494660e-01
8.101105525255969386e-01,3.539607090412032475e-01,6.978929306159138424e-01
8.101417670925523673e-01,3.544455866111513864e-01,6.974480871945625271e-01
8.100351858062574406e-01,3.544059895291265527e-01,6.975767080488963767e-01
8.098252051637682136e-01,3.538704833264298966e-01,6.960014875221032238e-01
8.097971268212529328e-01,3.542594665775775087e-01,6.969590282835701478e-01
8.115856928433624606e-01,3.459086386655001455e-01,6.914633418333455683e-01
8.118719732228113495e-01,3.458534351761949344e-01,6.970285794588606532e-01
8.101425239381362386e-01,3.542989619168421256e-01,6.975388067965611061e-01
8.101344134819130627e-01,3.546100736862207725e-01,6.972683580683679549e-01
8.099463268170216113e-01,3.540736870200121844e-01,6.969932740081439260e-01
8.112404196830096392e-01,3.489347594412195996e-01,6.945042223461719288e-01
8.102336367427976915e-01,3.542134280440389360e-01,6.975294801258845601e-01
8.104980531289091017e-01,3.527973287748686904e-01,6.965796917057474058e-01
8.124527058026852488e-01,3.443686264972546929e-01,6.917578113531034356e-01
8.102315257822986228e-01,3.539506923437656938e-01,6.973961142754238063e-01
8.107407552035374998e-01,3.504494412331665143e-01,6.955454705268432347e-01
