# sigma8,om0
8.100045749920167237e-01,3.282545529981715782e-01
8.093273176511787126e-01,3.292611890006754138e-01
8.112212722265671472e-01,3.279782483354534706e-01
8.100436356913187641e-01,3.289584054196970642e-01
8.101054982055914122e-01,3.285706136822830747e-01
8.195186503269030753e-01,3.198609052009861453e-01
8.097973453622203666e-01,3.280623277356739531e-01
8.106027258123019719e-01,3.278709563369583968e-01
8.100844880097187728e-01,3.290903389523243128e-01
8.097287737001080954e-01,3.280263679247066300e-01
8.106624814197284090e-01,3.272770259076051569e-01
8.094490130225581170e-01,3.290385422536359350e-01
8.109552194115959844e-01,3.277995242757459904e-01
8.113695436339054545e-01,3.265879533957168901e-01
8.089727536656936557e-01,3.296163914921996785e-01
8.113053087643798955e-01,3.272034895304775648e-01
8.113543246598989844e-01,3.281398696187564079e-01
8.110701878045698532e-01,3.279606360655283881e-01
8.105976600964741596e-01,3.272158758825358671e-01
8.132706631796063901e-01,3.261091845775014875e-01
8.099580962039089060e-01,3.281089956279125697e-01
8.101850775996720655e-01,3.288752190162742561e-01
8.125998710961395144e-01,3.270003245741996967e-01
8.106237339453911117e-01,3.285140491301067334e-01
8.101107890763464825e-01,3.286461797092270487e-01
8.195186503269030753e-01,3.198609052009861453e-01
8.097973453622203666e-01,3.280623277356739531e-01
8.112003959391506092e-01,3.274762850212607490e-01
8.100844880097187728e-01,3.290903389523243128e-01
8.097287737001080954e-01,3.280263679247066300e-01
8.106624814197284090e-01,3.272770259076051569e-01
8.089725454233688273e-01,3.296465128753141016e-01
8.109552194115959844e-01,3.277995242757459904e-01
8.113695436339054545e-01,3.265879533957168901e-01
8.094273821799521373e-01,3.289605786718665104e-01
8.113053087643798955e-01,3.272034895304775648e-01
8.113543246598989844e-01,3.281398696187564079e-01
8.110804660868891069e-01,3.279671196069156025e-01
8.105544969654746579e-01,3.273346878551889327e-01
8.164109645329424847e-01,3.241014909364673957e-01
8.100761556952318365e-01,3.281515339067469506e-01
8.101850775996720655e-01,3.288752190162742561e-01
8.144975030698761165e-01,3.254235953153805094e-01
8.106337107948908827e-01,3.281955356081374120e-01
8.101107890763464825e-01,3.286461797092270487e-01
8.195186503269030753e-01,3.198609052009861453e-01
8.098088003706450655e-01,3.280836649932880600e-01
8.113198430864563271e-01,3.272929548258654564e-01
8.100844880097187728e-01,3.290903389523243128e-01
8.097287737001080954e-01,3.280263679247066300e-01
8.106624814197284090e-01,3.272770259076051569e-01
8.105071526337022103e-01,3.284735591350779194e-01
8.124832585019182707e-01,3.263760573839231682e-01
8.122069782155842965e-01,3.255755762488274918e-01
8.098750119302010608e-01,3.284137355360215449e-01
8.113053087643798955e-01,3.272034895304775648e-01
8.113543246598989844e-01,3.281398696187564079e-01
8.116491646675052518e-01,3.277564190642579534e-01
8.109051916750558142e-01,3.267501919631465856e-01
8.164109645329424847e-01,3.241014909364673957e-01
8.100333309750669120e-01,3.282033048378326101e-01
8.101850775996720655e-01,3.288752190162742561e-01
8.144975030698761165e-01,3.254235953153805094e-01
8.107807591793319002e-01,3.281203530539254509e-01
8.103031192632909052e-01,3.285678717656184689e-01
8.195186503269030753e-01,3.198609052009861453e-01
8.101983237353903577e-01,3.277156062538704728e-01
8.113198430864563271e-01,3.272929548258654564e-01
8.105071370925757135e-01,3.286449130725467849e-01
8.097467563121987233e-01,3.280740017170899470e-01
8.113771322122907970e-01,3.266017558374612051e-01
8.108787096048382104e-01,3.282402355056352472e-01
8.134050241098765843e-01,3.259401883779277642e-01
8.127485881219153052e-01,3.257404092840475718e-01
8.098750119302010608e-01,3.284137355360215449e-01
8.113117490753126715e-01,3.272107858378749401e-01
8.113543246598989844e-01,3.281398696187564079e-01
8.125261886943144773e-01,3.272056813714139256e-01
8.109051916750558142e-01,3.267501919631465856e-01
8.174643551274614062e-01,3.233736517065685656e-01
8.102682632794401263e-01,3.279233113486160200e-01
8.138093718831033163e-01,3.253748952940958006e-01
8.146424596984389588e-01,3.253700646059324852e-01
8.110312527371222879e-01,3.280925525409699728e-01
8.103036274656250093e-01,3.285680547393393103e-01
8.195186503269030753e-01,3.198609052009861453e-01
8.101983237353903577e-01,3.277156062538704728e-01
8.116156712350843794e-01,3.267694216221012637e-01
8.106277025480757015e-01,3.285178502768018594e-01
8.098617548225083285e-01,3.281760277624741207e-01
8.113771322122907970e-01,3.266017558374612051e-01
8.107888909576441705e-01,3.284331101631151606e-01
8.134050241098765843e-01,3.259401883779277642e-01
8.125997076228415050e-01,3.258995583128047602e-01
8.100366384282234877e-01,3.282860341323530218e-01
8.113037979376316322e-01,3.272848489925196946e-01
8.133980726750431600e-01,3.260674244730845106e-01
8.125261886943144773e-01,3.272056813714139256e-01
8.110009834772450299e-01,3.265955064942642205e-01
8.174643551274614062e-01,3.233736517065685656e-01
8.105457607108665918e-01,3.278431279707919033e-01
8.142912199264265016e-01,3.248870276706725679e-01
8.162062184034054590e-01,3.242174768493257808e-01
8.109570170732312011e-01,3.280589568109426590e-01
8.103186045269447080e-01,3.285232146652138918e-01
8.195186503269030753e-01,3.198609052009861453e-01
8.107852566420785667e-01,3.271610161950698203e-01
8.120946366511195835e-01,3.263853008678904710e-01
8.106277025480757015e-01,3.285178502768018594e-01
8.098617548225083285e-01,3.281760277624741207e-01
8.113771322122907970e-01,3.266017558374612051e-01
8.107888909576441705e-01,3.284331101631151606e-01
8.134050241098765843e-01,3.259401883779277642e-01
8.136483871600029838e-01,3.249072338678563598e-01
