# sigma8,om0
8.100344030880205493e-01,3.288801281998116610e-01
8.097013048420851344e-01,3.289954227465378134e-01
8.100981096806502135e-01,3.288608235712290329e-01
8.121926277026527696e-01,3.270730835832243444e-01
8.096033939206801477e-01,3.289057247281775842e-01
8.117646118892697382e-01,3.282291996575939508e-01
8.098514283311326611e-01,3.284953672173542838e-01
8.098040451543440099e-01,3.285697120287345840e-01
8.097819917930841882e-01,3.284615330780273346e-01
8.097073560568114337e-01,3.285318289864327945e-01
8.109467022011241921e-01,3.276280869030870346e-01
8.100069220031802519e-01,3.283016948256080036e-01
8.097564837739475996e-01,3.293356419629809295e-01
8.101363493751130296e-01,3.278781134702015154e-01
8.101163632830439276e-01,3.284708625995496623e-01
8.101190050690476596e-01,3.291752345476860464e-01
8.102863647835298888e-01,3.273445536136786460e-01
8.102820354752288123e-01,3.294728137496652498e-01
8.099875289232238984e-01,3.284116329786360144e-01
8.098821831167822838e-01,3.293160856175686990e-01
8.101432256941093479e-01,3.288391876264597502e-01
8.096293427078246063e-01,3.290208639825323855e-01
8.101000451712108141e-01,3.288194747041182087e-01
8.123282635796116313e-01,3.269770814799853875e-01
8.096033939206801477e-01,3.289057247281775842e-01
8.108363874381477876e-01,3.285733446440314287e-01
8.098514283311326611e-01,3.284953672173542838e-01
8.100199920455367630e-01,3.280211771258600417e-01
8.096862780754642275e-01,3.284875228993289764e-01
8.098438910087716325e-01,3.283088161863519927e-01
8.111102248242493262e-01,3.274986033502886307e-01
8.102202029973628594e-01,3.281501346533668428e-01
8.094826291294429099e-01,3.292641644455703287e-01
8.101363493751130296e-01,3.278781134702015154e-01
8.102122268636110514e-01,3.283770826825195832e-01
8.100808675119121061e-01,3.287307179648971678e-01
8.102602547226257501e-01,3.274108767713911350e-01
8.102820354752288123e-01,3.294728137496652498e-01
8.100047265788841155e-01,3.284010523295563533e-01
8.097693741986328186e-01,3.291500376909262116e-01
8.101432256941093479e-01,3.288391876264597502e-01
8.096293427078246063e-01,3.290208639825323855e-01
8.101000451712108141e-01,3.288194747041182087e-01
8.128399195505302544e-01,3.264296247868042067e-01
8.097461064411907161e-01,3.285809473642959944e-01
8.111172200417311462e-01,3.284794734258520976e-01
8.098414587266834497e-01,3.285195437895796489e-01
8.100199920455367630e-01,3.280211771258600417e-01
8.097666321013746726e-01,3.284706499332853968e-01
8.098712963032052015e-01,3.282640530589554517e-01
8.117975574578285558e-01,3.271691489287961163e-01
